CODE	CLASS
102188	a
100477	b
102988	c
102877	c
103018	c
102141	a
103134	a
101795	a
101857	b
101778	b
101931	b
105242	b
101006	b
105578	d
105044	d
105464	d
100930	d
106293	d
106285	c
105530	d
100782	d
103242	d
103977	d
104232	b
95211	d
103526	d
104522	a
104535	d
104482	d
93988	d
95971	d
92636	d
95627	d
95937	d
93396	d
95900	d
95887	b
94292	b
96080	b
92909	d
93054	d
95850	d
93772	d
98527	d
98574	d
98981	d
99199	d
98781	a
98790	a
99142	a
99112	a
93846	a
93531	d
98955	d
98946	d
96964	d
116748	d
97244	d
97654	d
115983	d
97435	d
96200	d
96161	d
97253	d
97571	d
115868	d
115073	d
117510	d
116781	d
115352	d
114956	d
117509	d
115420	d
116789	d
116804	d
117521	d
114874	d
115212	d
115221	d
117152	d
114424	d
116790	d
115802	d
116795	d
115692	d
116909	d
121143	d
120078	d
120096	d
119876	d
119680	d
120263	d
120417	d
120949	d
119669	d
119412	d
117789	d
118172	d
120987	d
109934	d
119163	d
119253	d
119318	d
109870	d
109877	d
109878	d
118735	d
118981	d
119183	d
119164	d
119313	d
119314	d
119323	d
119366	d
109829	d
119290	d
108624	d
109639	d
118594	d
110079	d
108915	d
109904	d
108154	d
108155	d
106586	d
107451	d
110492	d
110686	d
110411	d
113714	d
75462	d
75174	d
75443	d
75444	d
75461	d
111638	d
111639	d
74183	d
78870	d
74032	d
78830	d
78335	d
74217	d
74218	d
78234	d
77489	d
78466	d
69259	d
77096	d
77378	d
70089	d
69471	d
72030	d
70743	d
73166	d
72379	d
72498	d
72828	d
72868	d
72491	d
70550	d
87548	d
88745	d
87717	d
88015	d
88016	d
71345	d
88583	d
88584	d
71198	d
88808	d
87907	d
88012	d
71225	d
87163	d
87300	d
85806	d
86316	d
88159	d
88065	d
88379	d
86515	d
86634	d
86652	d
85673	d
91698	d
88128	d
86553	d
92011	d
89622	d
90444	d
91175	d
91100	d
91759	d
89634	d
90428	d
91128	d
91580	d
92177	d
88975	d
88905	d
91071	d
92610	d
91014	d
92363	d
92227	d
81251	d
82281	d
90631	d
81183	d
81260	d
81712	d
81008	d
81253	d
81254	d
81267	d
89863	d
80901	d
80950	d
81263	d
81282	d
81314	d
81327	d
81345	d
89820	d
81129	d
81459	d
79764	d
79404	d
81874	d
79913	d
84241	d
79312	d
79475	d
82415	d
82547	d
85092	d
84672	d
85423	d
85077	d
82989	d
172688	d
172081	d
171632	d
171151	d
171971	d
83179	d
172373	d
171211	d
172383	d
172384	d
172678	d
171240	d
172559	d
171415	d
171541	d
170397	d
169721	d
169742	d
170736	d
169552	d
170214	d
169776	d
169117	d
175217	d
169733	d
170678	d
169781	d
173439	d
173454	d
175711	d
175754	d
175103	d
175664	d
174743	d
174833	d
175078	d
175438	d
176284	d
174975	d
175356	d
175579	d
175611	d
175832	d
176310	d
175179	d
175567	d
176070	d
174991	d
175942	d
176283	d
173409	d
